order_number,customer_id,customer_name,part_number,order_date,promise_date,shipped_date,qty_ordered,qty_shipped,backorder_qty,otif_flag,fill_rate,warehouse_id
SO20482,CUST-002,Customer Y,CL-7781,07-02-2026,10-02-2026,12-02-2026,33,31,2,0,0.9393939393939394,WH-01
SO20483,CUST-003,Customer Z,BR-2208,07-11-2025,11-11-2025,11-11-2025,5,2,3,0,0.4,WH-03
SO20484,CUST-001,Customer X,CL-7781,12-12-2024,15-12-2024,15-12-2024,16,8,8,0,0.5,WH-01
SO20485,CUST-003,Customer Z,BR-2208,15-12-2025,19-12-2025,20-12-2025,8,2,6,0,0.25,WH-03
SO20486,CUST-003,Customer Z,AX-4312,02-03-2024,04-03-2024,05-03-2024,6,0,6,0,0,WH-01
SO20487,CUST-003,Customer Z,MN-5544,16-11-2024,17-11-2024,17-11-2024,18,9,9,0,0.5,WH-02
SO20488,CUST-002,Customer Y,AX-4312,30-12-2024,03-01-2025,03-01-2025,21,16,5,0,0.7619047619047619,WH-02
SO20489,CUST-001,Customer X,AX-4312,05-11-2024,09-11-2024,10-11-2024,6,0,6,0,0,WH-01
SO20490,CUST-003,Customer Z,AX-4312,13-06-2024,14-06-2024,16-06-2024,23,18,5,0,0.782608696,WH-01
SO20491,CUST-001,Customer X,BR-2208,06-06-2024,07-06-2024,09-06-2024,22,16,6,0,0.7272727272727273,WH-03
SO20492,CUST-003,Customer Z,BR-2208,10-03-2025,11-03-2025,10-03-2025,15,9,6,0,0.6,WH-03
SO20493,CUST-002,Customer Y,AX-4312,19-04-2024,20-04-2024,22-04-2024,29,20,9,0,0.6896551724137931,WH-01
SO20494,CUST-003,Customer Z,AX-4312,04-11-2025,05-11-2025,04-11-2025,38,30,8,0,0.7894736842105263,WH-01
SO20495,CUST-002,Customer Y,BR-2208,01-07-2025,05-07-2025,05-07-2025,9,5,4,0,0.5555555555555556,WH-03
SO20496,CUST-002,Customer Y,ZX-9910,25-05-2025,29-05-2025,31-05-2025,26,22,4,0,0.8461538461538461,WH-01
SO20497,CUST-002,Customer Y,ZX-9910,11-06-2024,14-06-2024,16-06-2024,13,8,5,0,0.6153846153846154,WH-01
SO20498,CUST-002,Customer Y,AX-4312,30-06-2024,03-07-2024,03-07-2024,20,11,9,0,0.55,WH-01
SO20499,CUST-002,Customer Y,MN-5544,03-02-2026,04-02-2026,04-02-2026,14,9,5,0,0.6428571428571429,WH-01
SO20500,CUST-003,Customer Z,AX-4312,08-06-2025,10-06-2025,09-06-2025,9,0,9,0,0,WH-01
SO20501,CUST-003,Customer Z,ZX-9910,22-12-2025,24-12-2025,25-12-2025,29,27,2,0,0.9310344827586208,WH-01
SO20502,CUST-001,Customer X,MN-5544,03-04-2025,05-04-2025,04-04-2025,8,1,7,0,0.125,WH-01
SO20503,CUST-001,Customer X,ZX-9910,14-01-2026,17-01-2026,19-01-2026,36,29,7,0,0.8055555555555556,WH-01
SO20504,CUST-002,Customer Y,AX-4312,09-12-2025,12-12-2025,14-12-2025,39,30,9,0,0.7692307692307693,WH-01
SO20505,CUST-002,Customer Y,AX-4312,22-09-2024,24-09-2024,26-09-2024,10,6,4,0,0.6,WH-01
SO20506,CUST-003,Customer Z,AX-4312,19-07-2025,22-07-2025,22-07-2025,29,29,0,1,1,WH-01
SO20507,CUST-001,Customer X,BR-2208,26-11-2024,27-11-2024,26-11-2024,34,28,6,0,0.8235294117647058,WH-03
SO20508,CUST-002,Customer Y,AX-4312,15-10-2024,17-10-2024,18-10-2024,35,33,2,0,0.9428571428571428,WH-01
SO20509,CUST-001,Customer X,CL-7781,12-07-2025,14-07-2025,15-07-2025,33,33,0,0,1,WH-01
SO20510,CUST-003,Customer Z,MN-5544,24-04-2024,28-04-2024,30-04-2024,22,13,9,0,0.5909090909090909,WH-01
SO20511,CUST-001,Customer X,ZX-9910,25-01-2025,29-01-2025,30-01-2025,10,10,0,0,1,WH-01
SO20512,CUST-002,Customer Y,CL-7781,13-09-2025,17-09-2025,16-09-2025,25,18,7,0,0.72,WH-01
SO20513,CUST-002,Customer Y,AX-4312,21-01-2026,22-01-2026,23-01-2026,23,19,4,0,0.8260869565217391,WH-01
SO20514,CUST-002,Customer Y,CL-7781,24-02-2026,26-02-2026,28-02-2026,16,16,0,0,1,WH-01
SO20515,CUST-003,Customer Z,ZX-9910,31-03-2025,04-04-2025,05-04-2025,21,12,9,0,0.5714285714285714,WH-01
SO20516,CUST-001,Customer X,BR-2208,09-12-2024,13-12-2024,13-12-2024,35,30,5,0,0.8571428571428571,WH-03
SO20517,CUST-003,Customer Z,AX-4312,22-02-2025,23-02-2025,23-02-2025,22,13,9,0,0.5909090909090909,WH-01
SO20518,CUST-002,Customer Y,BR-2208,15-12-2024,16-12-2024,16-12-2024,20,13,7,0,0.65,WH-03
SO20519,CUST-002,Customer Y,BR-2208,05-07-2024,09-07-2024,08-07-2024,33,26,7,0,0.7878787878787878,WH-03
SO20520,CUST-003,Customer Z,BR-2208,03-03-2025,07-03-2025,08-03-2025,36,31,5,0,0.8611111111111112,WH-03
SO20521,CUST-003,Customer Z,ZX-9910,25-08-2025,28-08-2025,29-08-2025,37,36,1,0,0.972972973,WH-01
SO20522,CUST-001,Customer X,ZX-9910,16-11-2025,17-11-2025,16-11-2025,14,10,4,0,0.7142857142857143,WH-01
SO20523,CUST-002,Customer Y,BR-2208,25-07-2024,27-07-2024,27-07-2024,21,21,0,1,1,WH-03
SO20524,CUST-002,Customer Y,ZX-9910,24-03-2025,27-03-2025,26-03-2025,38,32,6,0,0.8421052631578947,WH-01
SO20525,CUST-002,Customer Y,MN-5544,04-04-2024,06-04-2024,08-04-2024,24,18,6,0,0.75,WH-01
SO20526,CUST-001,Customer X,BR-2208,28-06-2024,02-07-2024,04-07-2024,33,33,0,0,1,WH-03
SO20527,CUST-001,Customer X,CL-7781,04-12-2025,08-12-2025,10-12-2025,30,28,2,0,0.9333333333333332,WH-01
SO20528,CUST-002,Customer Y,BR-2208,02-08-2024,04-08-2024,05-08-2024,16,12,4,0,0.75,WH-03
SO20529,CUST-003,Customer Z,CL-7781,19-03-2025,21-03-2025,20-03-2025,38,32,6,0,0.8421052631578947,WH-01
SO20530,CUST-003,Customer Z,AX-4312,23-03-2024,24-03-2024,25-03-2024,19,19,0,0,1,WH-01
SO20531,CUST-003,Customer Z,CL-7781,10-12-2024,12-12-2024,13-12-2024,29,20,9,0,0.6896551724137931,WH-01
SO20532,CUST-003,Customer Z,CL-7781,29-10-2024,01-11-2024,02-11-2024,19,14,5,0,0.7368421052631579,WH-01
SO20533,CUST-003,Customer Z,AX-4312,05-09-2024,08-09-2024,08-09-2024,19,12,7,0,0.631578947,WH-01
SO20534,CUST-001,Customer X,ZX-9910,17-05-2025,18-05-2025,19-05-2025,33,29,4,0,0.8787878787878788,WH-01
SO20535,CUST-002,Customer Y,BR-2208,07-11-2024,10-11-2024,10-11-2024,9,6,3,0,0.6666666666666666,WH-03
SO20536,CUST-003,Customer Z,CL-7781,26-03-2024,28-03-2024,28-03-2024,39,39,0,1,1,WH-01
SO20537,CUST-002,Customer Y,MN-5544,10-04-2024,12-04-2024,12-04-2024,28,27,1,0,0.9642857142857144,WH-01
SO20538,CUST-001,Customer X,ZX-9910,31-03-2024,01-04-2024,01-04-2024,19,15,4,0,0.7894736842105263,WH-01
SO20539,CUST-001,Customer X,MN-5544,03-11-2024,06-11-2024,05-11-2024,7,5,2,0,0.7142857142857143,WH-01
SO20540,CUST-002,Customer Y,ZX-9910,23-09-2025,27-09-2025,28-09-2025,32,31,1,0,0.96875,WH-01
SO20541,CUST-002,Customer Y,ZX-9910,14-03-2025,16-03-2025,18-03-2025,37,28,9,0,0.7567567567567568,WH-01
SO20542,CUST-003,Customer Z,MN-5544,03-05-2024,07-05-2024,09-05-2024,21,14,7,0,0.6666666666666666,WH-01
SO20543,CUST-001,Customer X,BR-2208,13-06-2024,16-06-2024,15-06-2024,12,8,4,0,0.6666666666666666,WH-03
SO20544,CUST-002,Customer Y,ZX-9910,15-09-2024,19-09-2024,19-09-2024,35,26,9,0,0.7428571428571429,WH-02
SO20545,CUST-002,Customer Y,CL-7781,01-12-2024,05-12-2024,07-12-2024,35,33,2,0,0.9428571428571428,WH-01
SO20546,CUST-002,Customer Y,AX-4312,18-07-2024,21-07-2024,21-07-2024,16,13,3,0,0.8125,WH-01
SO20547,CUST-001,Customer X,BR-2208,28-07-2025,29-07-2025,31-07-2025,11,8,3,0,0.7272727272727273,WH-03
SO20548,CUST-003,Customer Z,ZX-9910,11-04-2024,13-04-2024,13-04-2024,18,12,6,0,0.6666666666666666,WH-01
SO20549,CUST-002,Customer Y,CL-7781,13-01-2025,14-01-2025,14-01-2025,33,25,8,0,0.7575757575757576,WH-01
SO20550,CUST-002,Customer Y,BR-2208,01-06-2025,05-06-2025,07-06-2025,14,12,2,0,0.8571428571428571,WH-03
SO20551,CUST-002,Customer Y,AX-4312,17-11-2025,21-11-2025,22-11-2025,21,13,8,0,0.6190476190476191,WH-01
SO20552,CUST-001,Customer X,MN-5544,23-06-2024,24-06-2024,23-06-2024,38,31,7,0,0.8157894736842105,WH-01
SO20553,CUST-003,Customer Z,AX-4312,20-06-2025,21-06-2025,22-06-2025,20,18,2,0,0.9,WH-01
SO20554,CUST-003,Customer Z,CL-7781,27-01-2026,30-01-2026,30-01-2026,15,6,9,0,0.4,WH-01
SO20555,CUST-002,Customer Y,BR-2208,28-12-2024,30-12-2024,29-12-2024,16,12,4,0,0.75,WH-03
SO20556,CUST-002,Customer Y,AX-4312,27-06-2024,29-06-2024,01-07-2024,32,25,7,0,0.78125,WH-01
SO20557,CUST-001,Customer X,AX-4312,08-07-2025,09-07-2025,08-07-2025,16,7,9,0,0.4375,WH-01
SO20558,CUST-002,Customer Y,AX-4312,03-08-2024,06-08-2024,05-08-2024,6,5,1,0,0.8333333333333334,WH-01
SO20559,CUST-001,Customer X,BR-2208,30-08-2024,31-08-2024,30-08-2024,13,8,5,0,0.6153846153846154,WH-03
SO20560,CUST-002,Customer Y,AX-4312,29-11-2025,02-12-2025,01-12-2025,16,16,0,1,1,WH-01
SO20561,CUST-003,Customer Z,ZX-9910,19-02-2026,23-02-2026,23-02-2026,23,21,2,0,0.9130434782608696,WH-01
SO20562,CUST-003,Customer Z,ZX-9910,12-05-2024,15-05-2024,16-05-2024,22,13,9,0,0.5909090909090909,WH-01
SO20563,CUST-002,Customer Y,AX-4312,10-05-2025,11-05-2025,11-05-2025,22,20,2,0,0.9090909090909092,WH-01
SO20564,CUST-003,Customer Z,CL-7781,20-08-2024,22-08-2024,24-08-2024,27,25,2,0,0.925925926,WH-01
SO20565,CUST-003,Customer Z,CL-7781,12-01-2025,15-01-2025,14-01-2025,31,22,9,0,0.7096774193548387,WH-01
SO20566,CUST-003,Customer Z,AX-4312,02-03-2024,06-03-2024,07-03-2024,31,28,3,0,0.9032258064516128,WH-01
SO20567,CUST-003,Customer Z,CL-7781,28-03-2024,31-03-2024,30-03-2024,28,21,7,0,0.75,WH-01
SO20568,CUST-001,Customer X,BR-2208,03-06-2025,04-06-2025,04-06-2025,34,30,4,0,0.8823529411764706,WH-03
SO20569,CUST-003,Customer Z,BR-2208,29-04-2025,02-05-2025,01-05-2025,20,13,7,0,0.65,WH-03
SO20570,CUST-003,Customer Z,BR-2208,02-10-2024,06-10-2024,05-10-2024,10,6,4,0,0.6,WH-03
SO20571,CUST-001,Customer X,AX-4312,08-09-2025,10-09-2025,09-09-2025,8,1,7,0,0.125,WH-01
SO20572,CUST-003,Customer Z,MN-5544,25-01-2025,29-01-2025,30-01-2025,21,20,1,0,0.9523809523809524,WH-01
SO20573,CUST-002,Customer Y,BR-2208,19-12-2025,20-12-2025,19-12-2025,30,24,6,0,0.8,WH-03
SO20574,CUST-002,Customer Y,MN-5544,03-11-2025,05-11-2025,04-11-2025,37,32,5,0,0.8648648648648649,WH-01
SO20575,CUST-002,Customer Y,CL-7781,28-08-2025,01-09-2025,03-09-2025,11,10,1,0,0.9090909090909092,WH-01
SO20576,CUST-002,Customer Y,CL-7781,07-02-2025,11-02-2025,10-02-2025,18,15,3,0,0.8333333333333334,WH-01
SO20577,CUST-001,Customer X,CL-7781,02-07-2024,03-07-2024,03-07-2024,21,16,5,0,0.7619047619047619,WH-01
SO20578,CUST-002,Customer Y,MN-5544,17-05-2025,20-05-2025,21-05-2025,33,28,5,0,0.8484848484848485,WH-01
SO20579,CUST-001,Customer X,AX-4312,01-02-2025,04-02-2025,03-02-2025,28,20,8,0,0.7142857142857143,WH-01
SO20580,CUST-001,Customer X,MN-5544,07-07-2024,11-07-2024,13-07-2024,20,15,5,0,0.75,WH-01
SO20581,CUST-001,Customer X,AX-4312,11-09-2024,12-09-2024,11-09-2024,8,7,1,0,0.875,WH-01
SO20582,CUST-003,Customer Z,AX-4312,30-03-2024,03-04-2024,03-04-2024,32,32,0,1,1,WH-01
SO20583,CUST-003,Customer Z,ZX-9910,24-08-2024,26-08-2024,27-08-2024,26,24,2,0,0.9230769230769232,WH-01
SO20584,CUST-001,Customer X,ZX-9910,17-06-2025,18-06-2025,17-06-2025,35,27,8,0,0.7714285714285715,WH-02
SO20585,CUST-002,Customer Y,ZX-9910,14-10-2024,17-10-2024,17-10-2024,39,38,1,0,0.9743589743589745,WH-01
SO20586,CUST-001,Customer X,MN-5544,01-11-2024,03-11-2024,03-11-2024,15,8,7,0,0.5333333333333333,WH-01
SO20587,CUST-001,Customer X,BR-2208,25-06-2024,28-06-2024,29-06-2024,12,10,2,0,0.8333333333333334,WH-03
SO20588,CUST-001,Customer X,BR-2208,28-07-2024,30-07-2024,29-07-2024,28,26,2,0,0.9285714285714286,WH-03
SO20589,CUST-002,Customer Y,ZX-9910,22-01-2025,25-01-2025,27-01-2025,34,29,5,0,0.8529411764705882,WH-01
SO20590,CUST-001,Customer X,AX-4312,15-07-2024,19-07-2024,21-07-2024,17,9,8,0,0.5294117647058824,WH-01
SO20591,CUST-002,Customer Y,AX-4312,21-08-2024,25-08-2024,26-08-2024,11,6,5,0,0.5454545454545454,WH-01
SO20592,CUST-002,Customer Y,CL-7781,30-05-2024,03-06-2024,04-06-2024,23,20,3,0,0.8695652173913043,WH-01
SO20593,CUST-001,Customer X,AX-4312,07-11-2024,10-11-2024,09-11-2024,33,26,7,0,0.7878787878787878,WH-01
SO20594,CUST-002,Customer Y,CL-7781,02-04-2024,06-04-2024,07-04-2024,9,5,4,0,0.5555555555555556,WH-01
SO20595,CUST-001,Customer X,MN-5544,27-12-2025,29-12-2025,29-12-2025,30,24,6,0,0.8,WH-01
SO20596,CUST-003,Customer Z,MN-5544,24-02-2025,25-02-2025,27-02-2025,10,4,6,0,0.4,WH-01
SO20597,CUST-003,Customer Z,CL-7781,01-12-2024,02-12-2024,01-12-2024,22,16,6,0,0.7272727272727273,WH-01
SO20598,CUST-002,Customer Y,BR-2208,02-07-2025,06-07-2025,06-07-2025,5,2,3,0,0.4,WH-03
SO20599,CUST-002,Customer Y,AX-4312,14-07-2025,17-07-2025,19-07-2025,39,33,6,0,0.8461538461538461,WH-02
SO20600,CUST-003,Customer Z,BR-2208,04-02-2026,07-02-2026,09-02-2026,30,27,3,0,0.9,WH-03
SO20601,CUST-001,Customer X,CL-7781,07-07-2024,10-07-2024,12-07-2024,12,4,8,0,0.3333333333333333,WH-01
SO20602,CUST-003,Customer Z,MN-5544,05-02-2025,08-02-2025,10-02-2025,9,6,3,0,0.6666666666666666,WH-01
SO20603,CUST-002,Customer Y,ZX-9910,01-07-2025,03-07-2025,05-07-2025,36,27,9,0,0.75,WH-01
SO20604,CUST-003,Customer Z,BR-2208,25-08-2024,28-08-2024,28-08-2024,9,9,0,1,1,WH-03
SO20605,CUST-002,Customer Y,BR-2208,29-09-2024,30-09-2024,01-10-2024,15,11,4,0,0.7333333333333333,WH-03
SO20606,CUST-003,Customer Z,AX-4312,28-08-2025,01-09-2025,31-08-2025,36,29,7,0,0.8055555555555556,WH-01
SO20607,CUST-003,Customer Z,ZX-9910,11-10-2025,15-10-2025,15-10-2025,7,4,3,0,0.5714285714285714,WH-01
SO20608,CUST-003,Customer Z,CL-7781,20-09-2024,24-09-2024,25-09-2024,31,28,3,0,0.9032258064516128,WH-01
SO20609,CUST-003,Customer Z,MN-5544,25-08-2025,28-08-2025,29-08-2025,31,27,4,0,0.8709677419354839,WH-01
SO20610,CUST-003,Customer Z,ZX-9910,30-04-2024,01-05-2024,30-04-2024,32,24,8,0,0.75,WH-01
SO20611,CUST-002,Customer Y,MN-5544,11-11-2025,13-11-2025,12-11-2025,37,30,7,0,0.8108108108108109,WH-01
SO20612,CUST-002,Customer Y,MN-5544,10-10-2025,14-10-2025,14-10-2025,5,4,1,0,0.8,WH-01
SO20613,CUST-002,Customer Y,AX-4312,13-04-2024,16-04-2024,17-04-2024,28,28,0,0,1,WH-01
SO20614,CUST-002,Customer Y,BR-2208,15-08-2024,18-08-2024,19-08-2024,17,9,8,0,0.5294117647058824,WH-03
SO20615,CUST-002,Customer Y,BR-2208,25-08-2024,29-08-2024,31-08-2024,19,11,8,0,0.5789473684210527,WH-03
SO20616,CUST-002,Customer Y,BR-2208,20-05-2025,22-05-2025,23-05-2025,28,28,0,0,1,WH-03
SO20617,CUST-001,Customer X,MN-5544,06-06-2025,10-06-2025,12-06-2025,33,27,6,0,0.8181818181818182,WH-01
SO20618,CUST-001,Customer X,MN-5544,03-07-2024,04-07-2024,05-07-2024,18,14,4,0,0.7777777777777778,WH-01
SO20619,CUST-003,Customer Z,BR-2208,05-11-2025,07-11-2025,06-11-2025,31,29,2,0,0.935483871,WH-03
SO20620,CUST-001,Customer X,MN-5544,21-05-2024,23-05-2024,24-05-2024,37,36,1,0,0.972972973,WH-01
SO20621,CUST-002,Customer Y,MN-5544,05-02-2026,09-02-2026,11-02-2026,24,17,7,0,0.7083333333333334,WH-01
SO20622,CUST-003,Customer Z,BR-2208,26-09-2025,29-09-2025,28-09-2025,34,25,9,0,0.7352941176470589,WH-03
SO20623,CUST-003,Customer Z,AX-4312,22-04-2024,24-04-2024,23-04-2024,33,28,5,0,0.8484848484848485,WH-01
SO20624,CUST-003,Customer Z,BR-2208,22-12-2025,23-12-2025,22-12-2025,13,6,7,0,0.4615384615384615,WH-03
SO20625,CUST-001,Customer X,AX-4312,03-10-2025,06-10-2025,08-10-2025,17,13,4,0,0.7647058823529411,WH-01
SO20626,CUST-002,Customer Y,MN-5544,05-08-2025,08-08-2025,10-08-2025,18,9,9,0,0.5,WH-01
SO20627,CUST-003,Customer Z,AX-4312,08-06-2024,12-06-2024,14-06-2024,21,14,7,0,0.6666666666666666,WH-01
SO20628,CUST-001,Customer X,CL-7781,12-12-2024,13-12-2024,12-12-2024,31,31,0,1,1,WH-01
SO20629,CUST-003,Customer Z,CL-7781,31-05-2024,04-06-2024,04-06-2024,8,1,7,0,0.125,WH-01
SO20630,CUST-001,Customer X,BR-2208,25-12-2025,26-12-2025,25-12-2025,11,11,0,1,1,WH-03
SO20631,CUST-002,Customer Y,MN-5544,11-04-2024,12-04-2024,13-04-2024,19,14,5,0,0.7368421052631579,WH-01
SO20632,CUST-003,Customer Z,ZX-9910,27-05-2025,31-05-2025,31-05-2025,33,28,5,0,0.8484848484848485,WH-01
SO20633,CUST-003,Customer Z,ZX-9910,03-12-2024,04-12-2024,03-12-2024,26,19,7,0,0.7307692307692307,WH-01
SO20634,CUST-003,Customer Z,ZX-9910,10-12-2025,11-12-2025,10-12-2025,25,23,2,0,0.92,WH-01
SO20635,CUST-001,Customer X,CL-7781,24-03-2024,26-03-2024,27-03-2024,11,2,9,0,0.1818181818181818,WH-01
SO20636,CUST-001,Customer X,AX-4312,29-08-2025,01-09-2025,31-08-2025,25,24,1,0,0.96,WH-01
SO20637,CUST-003,Customer Z,CL-7781,01-10-2025,04-10-2025,06-10-2025,19,15,4,0,0.7894736842105263,WH-01
SO20638,CUST-001,Customer X,CL-7781,19-04-2024,20-04-2024,21-04-2024,16,10,6,0,0.625,WH-01
SO20639,CUST-002,Customer Y,AX-4312,26-06-2025,27-06-2025,26-06-2025,10,4,6,0,0.4,WH-01
SO20640,CUST-001,Customer X,BR-2208,20-07-2024,22-07-2024,22-07-2024,12,4,8,0,0.3333333333333333,WH-03
SO20641,CUST-002,Customer Y,ZX-9910,18-04-2025,21-04-2025,23-04-2025,25,21,4,0,0.84,WH-01
SO20642,CUST-002,Customer Y,AX-4312,14-10-2025,18-10-2025,17-10-2025,19,15,4,0,0.7894736842105263,WH-01
SO20643,CUST-001,Customer X,ZX-9910,10-03-2025,13-03-2025,12-03-2025,32,29,3,0,0.90625,WH-01
SO20644,CUST-002,Customer Y,MN-5544,05-10-2025,06-10-2025,08-10-2025,38,38,0,0,1,WH-01
SO20645,CUST-001,Customer X,ZX-9910,21-12-2024,25-12-2024,27-12-2024,9,4,5,0,0.4444444444444444,WH-01
SO20646,CUST-002,Customer Y,ZX-9910,28-01-2025,30-01-2025,01-02-2025,11,8,3,0,0.7272727272727273,WH-01
SO20647,CUST-002,Customer Y,CL-7781,26-10-2024,28-10-2024,30-10-2024,19,13,6,0,0.6842105263157895,WH-01
SO20648,CUST-001,Customer X,BR-2208,16-09-2025,20-09-2025,19-09-2025,19,19,0,1,1,WH-03
SO20649,CUST-003,Customer Z,CL-7781,03-09-2025,04-09-2025,05-09-2025,18,9,9,0,0.5,WH-01
SO20650,CUST-001,Customer X,MN-5544,07-05-2025,11-05-2025,13-05-2025,19,10,9,0,0.5263157894736842,WH-02
SO20651,CUST-001,Customer X,MN-5544,06-02-2026,09-02-2026,11-02-2026,31,25,6,0,0.8064516129032258,WH-01
SO20652,CUST-001,Customer X,MN-5544,08-01-2026,09-01-2026,08-01-2026,13,9,4,0,0.6923076923076923,WH-01
SO20653,CUST-003,Customer Z,BR-2208,26-11-2025,27-11-2025,29-11-2025,11,7,4,0,0.6363636363636364,WH-03
SO20654,CUST-001,Customer X,MN-5544,07-12-2024,09-12-2024,11-12-2024,9,5,4,0,0.5555555555555556,WH-01
SO20655,CUST-002,Customer Y,MN-5544,14-04-2024,17-04-2024,18-04-2024,32,24,8,0,0.75,WH-01
SO20656,CUST-001,Customer X,MN-5544,20-11-2024,22-11-2024,22-11-2024,8,7,1,0,0.875,WH-01
SO20657,CUST-002,Customer Y,AX-4312,07-02-2025,09-02-2025,10-02-2025,25,20,5,0,0.8,WH-01
SO20658,CUST-002,Customer Y,ZX-9910,20-12-2025,23-12-2025,22-12-2025,22,18,4,0,0.8181818181818182,WH-01
SO20659,CUST-003,Customer Z,AX-4312,14-02-2025,15-02-2025,17-02-2025,32,23,9,0,0.71875,WH-01
SO20660,CUST-002,Customer Y,ZX-9910,12-09-2025,14-09-2025,15-09-2025,7,0,7,0,0,WH-01
SO20661,CUST-003,Customer Z,AX-4312,09-12-2024,13-12-2024,15-12-2024,35,35,0,0,1,WH-01
SO20662,CUST-001,Customer X,MN-5544,02-02-2025,03-02-2025,04-02-2025,27,26,1,0,0.9629629629629628,WH-01
SO20663,CUST-001,Customer X,ZX-9910,22-07-2025,23-07-2025,22-07-2025,9,7,2,0,0.7777777777777778,WH-01
SO20664,CUST-003,Customer Z,CL-7781,04-02-2026,07-02-2026,09-02-2026,7,2,5,0,0.2857142857142857,WH-01
SO20665,CUST-002,Customer Y,BR-2208,01-09-2024,05-09-2024,07-09-2024,35,31,4,0,0.8857142857142857,WH-03
SO20666,CUST-002,Customer Y,BR-2208,27-06-2024,28-06-2024,27-06-2024,21,16,5,0,0.7619047619047619,WH-03
SO20667,CUST-003,Customer Z,ZX-9910,27-02-2026,28-02-2026,01-03-2026,30,26,4,0,0.8666666666666667,WH-01
SO20668,CUST-002,Customer Y,CL-7781,17-01-2026,20-01-2026,20-01-2026,27,18,9,0,0.6666666666666666,WH-01
SO20669,CUST-001,Customer X,MN-5544,02-08-2024,06-08-2024,08-08-2024,29,24,5,0,0.8275862068965517,WH-01
SO20670,CUST-003,Customer Z,ZX-9910,11-01-2026,14-01-2026,15-01-2026,14,11,3,0,0.7857142857142857,WH-01
SO20671,CUST-001,Customer X,BR-2208,09-01-2025,10-01-2025,11-01-2025,27,23,4,0,0.8518518518518519,WH-03
SO20672,CUST-003,Customer Z,AX-4312,28-06-2024,29-06-2024,28-06-2024,6,0,6,0,0,WH-01
SO20673,CUST-001,Customer X,ZX-9910,07-12-2024,10-12-2024,10-12-2024,18,11,7,0,0.6111111111111112,WH-01
SO20674,CUST-003,Customer Z,MN-5544,14-08-2024,16-08-2024,18-08-2024,30,26,4,0,0.8666666666666667,WH-01
SO20675,CUST-003,Customer Z,CL-7781,25-08-2024,26-08-2024,25-08-2024,32,24,8,0,0.75,WH-01
SO20676,CUST-003,Customer Z,CL-7781,03-01-2025,06-01-2025,07-01-2025,22,19,3,0,0.8636363636363636,WH-01
SO20677,CUST-003,Customer Z,CL-7781,23-04-2025,27-04-2025,27-04-2025,36,28,8,0,0.7777777777777778,WH-01
SO20678,CUST-002,Customer Y,CL-7781,24-04-2024,28-04-2024,28-04-2024,12,10,2,0,0.8333333333333334,WH-01
SO20679,CUST-003,Customer Z,CL-7781,17-06-2025,19-06-2025,20-06-2025,26,26,0,0,1,WH-01
SO20680,CUST-002,Customer Y,CL-7781,31-12-2025,02-01-2026,04-01-2026,39,37,2,0,0.9487179487179488,WH-01
SO20681,CUST-001,Customer X,BR-2208,17-10-2025,20-10-2025,20-10-2025,31,22,9,0,0.7096774193548387,WH-03
SO20682,CUST-001,Customer X,AX-4312,26-01-2025,29-01-2025,31-01-2025,17,13,4,0,0.7647058823529411,WH-01
SO20683,CUST-002,Customer Y,CL-7781,22-05-2025,26-05-2025,25-05-2025,13,5,8,0,0.3846153846153846,WH-01
SO20684,CUST-003,Customer Z,MN-5544,26-07-2024,27-07-2024,27-07-2024,11,11,0,1,1,WH-01
SO20685,CUST-002,Customer Y,ZX-9910,22-05-2024,26-05-2024,26-05-2024,16,12,4,0,0.75,WH-01
SO20686,CUST-003,Customer Z,MN-5544,17-04-2024,20-04-2024,22-04-2024,18,17,1,0,0.9444444444444444,WH-01
SO20687,CUST-001,Customer X,AX-4312,19-10-2025,21-10-2025,20-10-2025,8,5,3,0,0.625,WH-02
SO20688,CUST-003,Customer Z,BR-2208,04-07-2025,07-07-2025,07-07-2025,20,11,9,0,0.55,WH-03
SO20689,CUST-003,Customer Z,ZX-9910,17-10-2024,18-10-2024,18-10-2024,39,37,2,0,0.9487179487179488,WH-01
SO20690,CUST-001,Customer X,ZX-9910,01-04-2024,03-04-2024,04-04-2024,12,3,9,0,0.25,WH-01
SO20691,CUST-003,Customer Z,CL-7781,21-12-2025,24-12-2025,24-12-2025,33,27,6,0,0.8181818181818182,WH-01
SO20692,CUST-003,Customer Z,MN-5544,30-10-2024,02-11-2024,02-11-2024,23,14,9,0,0.6086956521739131,WH-01
SO20693,CUST-003,Customer Z,AX-4312,19-01-2025,21-01-2025,22-01-2025,8,2,6,0,0.25,WH-01
SO20694,CUST-002,Customer Y,CL-7781,06-10-2025,08-10-2025,09-10-2025,11,5,6,0,0.4545454545454545,WH-01
SO20695,CUST-003,Customer Z,ZX-9910,08-12-2024,12-12-2024,13-12-2024,14,12,2,0,0.8571428571428571,WH-01
SO20696,CUST-002,Customer Y,BR-2208,23-10-2025,27-10-2025,26-10-2025,32,30,2,0,0.9375,WH-03
SO20697,CUST-001,Customer X,BR-2208,30-07-2024,31-07-2024,01-08-2024,24,24,0,0,1,WH-03
SO20698,CUST-001,Customer X,BR-2208,25-09-2025,27-09-2025,27-09-2025,32,30,2,0,0.9375,WH-03
SO20699,CUST-003,Customer Z,AX-4312,22-12-2024,26-12-2024,26-12-2024,26,20,6,0,0.7692307692307693,WH-01
